"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"1 ","서울특별시 양천구청","일반장학금","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","○ 중위소득이 100%이내인 자","○ 중학생 30만원 고등학생 60만원","○ 중학생 및 고등학생","○ 공고일 기준 양천구 관내에 1년 이상 거주하고 있는 고등학생(주민등록 기준)","○ 전체 지급계획 고려해 선발○ 우선순위는 중위소득 낮은/ 한부모/ 다자녀/ 양천구 거주기간","○ 중학생 30명 고등학생 50명 (예정)","○ 2025년 국가 또는 타 지방자치단체 민간단체 등(교내 장학금 포함)으로부터 장학금을 받았거나 받을 예정인 자○ 장학금 종류 중 한가지 분야만 신청가능하며 장학생 신청은 1가구 당 1명에 한함※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 주소 관할 동주민센터 동장 추천","○ 장학금 신청서 및 개인정보제공동의서○ 초본○ 동장 추천서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.docbIdx=254&bcIdx=299828&parentSeq=299828","2025-09-01","2025-09-19"
"2 ","서울특별시 양천구청","성적우수장학금","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 직전학기 성적이 재적학년 정원의 100분의 20 이내인 자 ○ 고1 : 절대평가 과목의 80% 이상에서 A등급 취득 상대평가 과목의 평균 1.42등급 이내 취득자 (고교학점제 반영)○ 고2·3 : 직전학기 과목별 '석차등급'의 평균 2.75등급 이내 취득자 (9등급제 반영)","해당없음","○ 1인당 60만원","○ 고등학생","○ 공고일(2025. 8. 11.) 기준 양천구 관내에 1년 이상 거주하고 있는 고등학생(주민등록 기준)","○ 학교별 1명 우선 선정○ 나머지 인원은 수급자·차상위>한부모>다자녀>양천구 거주기간 순위로 전체 지급 계획 내 선발","○ 30명(예정)","○ 2025년 국가 또는 타 지방자치단체·민간단체 등(교내 장학금 포함)으로부터 장학금을 받았거나 받을 예정인 자○ 장학금 종류 중 한가지 분야만 신청 가능하며 장학생 신청은 1가구 당 1명에 한함※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 재학중인 학교장 추천 (양천구 외 관외학교 재학생의 경우 주소지 관할 동장 추천)","○ 장학금 신청서 및 개인정보제공동의서○ 초본 (학생기준 주소이력 포함 주민등록 뒷자리 미포함)○ 학교장 추천서○ 성적증명서○ 수급자·차상위·한부모 가족 증빙서류 (해당사항 있는 경우만 제출)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.docbIdx=254&bcIdx=299828&parentSeq=299828","2025-09-01","2025-09-19"
"3 ","서울특별시 양천구청","특기장학금","지자체(출자출연기관)","장학금","특기자","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 초·중등학생 30만원 고등학생 60만원 ","○ 예술·체육·과학(수학 포함) 분야에서 정부/광역시·도단위 이상 자치단체/전국 교육감 등이 주최·주관하는 광역시·도단위 이상 대회에서 3위권 이내 입상한 자○ 입상실적은 공고일(2025.8.11.) 기준 2년 이내에 입상한 대회","○ 공고일(2025. 8. 11.) 기준 양천구 관내에 1년 이상 거주하고 있는 초·중·고등학생(주민등록 기준)","○ 학교별 1명 우선 선정하되 전체 지급계획 고려해 선발○ 우선순위 : 수급자·차상위/ 한부모/ 다자녀/ 양천구 거주기간","○ 초중등학생 15명 고등학생 5명 (예정) ","○ 2025년 국가 또는 타 지방자치단체·민간단체 등(교내 장학금 포함)으로부터 장학금을 받았거나 받을 예정인 자○ 장학금 종류 중 한가지 분야만 신청 가능하며 장학생 신청은 1가구 당 1명에 한함※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 재학중인 학교장 추천 (양천구 외 관외학교 재학생의 경우 주소지 관할 동장 추천)","○ 장학금 신청서 및 개인정보제공동의서○ 초본 (학생기준 주소이력 포함 주민등록 뒷자리 미포함)○ 학교장 추천서○ 수급자·차상위·한부모 가족 증빙서류 (해당사항 있는 경우만 제출)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/View.docbIdx=254&bcIdx=299828&parentSeq=299828","2025-09-01","2025-09-19"
"4 ","재단법인 대전청년내일재단","희망장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고체육고","1학년2학년3학년제한없음","○ 학업성적이 6등급 이내인 고등학생○ 고1의 경우 중학교 3학년 1·2학기 원점수가 기재된 과목들의 평균이 50점 이상인 학생","○ 국민기초생활보장법상 수급자 및 차상위 계층의 자녀(한부모 가정 자녀 포함)","○ 70만원","※ 기관확인필요","○ 현재 대전시에 소재한 고등학교에 재학 중인 학생","○ 직전 1년 학업성적 60%/ 가정형편 40%※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 125명","○ 징계(출석정지 7일 이상)처분 및 타 도시로 전학하였을 때","○ 학교장 추천 필수","○ 장학금 지원 신청서○ 장학생 추천 및 타 장학금 수혜 확인서○ 주민등록등본○ 개인정보 수집이용 제공 및 조회 동의서○ 성적증명서○ 기초생활수급 증명서○ 보호자 통장 사본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.dhrdf/or.kr/html/kr ","2025-04-07","2025-04-30"
"5 ","(재)옹진군인재육성재단","응원장학금","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 연 1회 100만원/생활비성○ 중복 지급 가능※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 옹진군 소재 초·중·고 통합 3년 이상 재학한 자○ 관내 고등학생(또는 보호자)이 질병·실직·폐업·화재·출소·재난 등 경제적 어려움으로 긴급지원이 필요한 자로 현재 긴급한 어려움을 증명할 자료를 제출한 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 본인 또는 친권자가 선발 공고일 기준 옹진군에 주민등록을 두고 3년 이상 연속적으로 실거주 하고 있는 자","○ 분야별 성적 및 자격 등의 서류심사를 거쳐 재단 이사회에서 종합적인 심의 후 최종 의결 및 선발","○ 7명(초중고 포함 인원)","※ 기관확인필요","해당없음","○ 장학금 지원신청서○ 개인(신용)정보 수집이용제공 및 조회 동의서○ 실거주 확인서○ 서약서○ 주민등록초본○ 가족관계증명서○ 재학증명서○ 생활기록부○ 보통예금 통장사본○ 기타 추가 서류(해당자)○ 긴급지원 입증 관련 서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.ongjin.go.kr","2026-04-20","2026-05-15"
"6 ","(재)인제군장학회","장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ (신입생)최종학력 성적 상위 5% 이내인 자○ (재학생)직전학년의 성적이 학년석차 상위 5% 범위에 해당하는 자(학교별 5명 이내)","해당없음","○ 50만원","○ 관내 고등학교 신입생 및 재학생","○ 신청일 현재 군 관내에 주소를 두고 2년 이상 거주하고 있는 자/ 보호자 중 한 명 이상이 신청일 기준 군 관내에 2년 이상 계속해서 거주※ 자세한 사항은 첨부파일 또는 홈페이지 참고","※ 기관확인필요","○ 예산의 범위 내에서 성적 순 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 인제군 인재육성기금 장학금과의 중복지원 불가○ 편입/ 재입학 등의 사유로 같은 학년을 중복하여 다니게 된 경우 지원받은 학년 중복지급 불가(학년별 1회만 지급)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천","○ 인제군에 2년 이상 거주한 부/모의 주민등록등본○ 통장사본○ 가족관계증명서○ (신입생)고등학교 입학(예정)증명서/성적 입증 가능 서류○ (재학생)재학증명서/성적증명서류○ 학교장 추천서○ 지원서 및 개인정보동의서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.inje.go.kr/portal","2026-01-19","2026-02-27"
"7 ","(재)인제군장학회","저소득주민자녀 장학생(특별)","지자체(출자출연기관)","학자금","해당없음","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","○ 아래 중 하나에 해당*국민기초생활 보장법 제2조제2호의 수급자 및 제2조제10호의 차상위계층*주 소득원의 실업으로 생활이 어려워 긴급 지원을 받는 가구","○ 50만원","○ 전국규모의 예체능계 경연대회에서 3위 이내 입상자○ 군민 제안 채택 창안자로 선정된 사람○ 현저희 타의 모범이 될 만한 선행으로 상장을 수여 받은 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 공고일 및 신청일 기준 현재 관내에 주소를 두고 본인 또는 부양의무자중 한 명 이상이 실제 거주하는 자","○ 신청자 중 생계/의료급여 수급 가구의 자녀를 우선선발 후 성적순으로 선발","※ 기관확인필요","※ 기관확인필요","해당없음","○ 장학금 신청서○ 개인정보제공 및 활용동의서○ 통장사본○ 기타 장학금 종류에 따른 증빙 서류 (성적증명서/재학증명서/추천서 등)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.inje.go.kr","2026-04-29","2026-05-15"
"8 ","우리다문화장학재단","특기장학","기타","장학금","특기자","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 500만원","○ 특기 및 재능 보유 다문화가족 자녀(8세~34세 : 1993년생~2019년생)○ 예체능 및 어학 특기자/자격기술보유자/직업·진로 특기자 등○ 최근 3년 이내에 전국 규모 이상의 대회 입상실적 또는 이에 상응하는 특기 및 재능 관련 실적자료 제출이 가능해야함○ 학교 재학여부 관계없음(졸업생 및 학교 밖 청소년 신청가능)","해당없음","○ 서류평가 및 역량평가○ 면접 또는 전화 인터뷰(필요시)","○ 40명 ","○ 부모 모두 외국 국적을 가진 가족 및 북한이탈주민 지원불가○ 학업장학과 중복지원 불가능","○ 추천자격에 해당하는 자의 추천 필요○ 추천자격 : 소속학교 학교장/다문화 및 사회 복지기관장/지자체 및 주민센터장/특기재능 관련 전문기관장","○ 장학생 신청서 및 자기소개서○ 재학증명서 또는 재직증명서/졸업증명서 또는 경력증명서○ 장학생 추천서○ 주민등록등본○ 가족관계증명서○ 다문화 학생임을 입증할 수 있는 서류 1부○ 수상 실적 자료 또는 경력 관련 포트폴리오(수상확인서·상장 사본·관련기사 스크랩 등)○ 법정 저소득 증빙서류(해당자)○ 차상위 본인부담경감대상자 증명서(해당자)○ 건강보험자격확인서(해당자)○ 건강보험료 납부확인서(해당자)○ 자원봉사활동 실적확인서(해당자)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.woorifoundation.or.kr","2026-03-23","2026-04-17"
"9 ","봉평태기장학회","일반장학생","기타","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","해당없음","○ 재학생 : 직전학년 성적순위 10% 이내○ 신입생 : 입학 성적순위 10% 이내","해당없음","○ 50만원","○ 2022년 7월 30일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어 있는 강원도내 고등학교 재학생 및 신입생","○ 본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자○ 단 본적이 타 지역인 자는 5년 이상 거주","○ 예산범위 내 성적순 선발○ 장학이사회 심의 후 개별 통보 예정","※ 기관확인필요","○ 학자금 면제자○ 타장학금 100만원 이상 수혜대상 확정자","해당없음","○ 장학생 지원서 (소정양식/ 봉평면사무소 비치 / 반명함사진)○ 성적증명서 (학교장 발행)○ 장학금(미)수혜 확인서 (학교장 발행)○ 가족관계등록부○ 주민등록 등·초본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.pc.go.kr/","2023-12-02","2023-12-11"
"10 ","봉평태기장학회","예체능특기생","기타","장학금","특기자","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","해당없음","해당없음","해당없음","※ 기관확인필요","○ 봉평면내 초/중/고 재학생 중 예체능 특기자로서 前학년 도내 1위 및 전국대회 3위 이내 입상자","○ 본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자○ 본적이 타 지역인 자는 5년 이상 거주","○ 예산범위 내 성적순 선발○ 장학이사회 심의 후 개별 통보 예정","○ 00명○ 체육특기생은 3명 이내 선발","○ 학자금 면제자○ 타장학금 일백만원 이상 수혜대상 확정자","해당없음","○ 장학생 지원서 (소정양식/ 봉평면사무소 비치 / 반명함사진)○ 성적증명서 (학교장 발행)○ 장학금(미)수혜 확인서 (학교장 발행)○ 가족관계등록부/ 주민등록 등·초본 각 1부※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.pc.go.kr/","2023-12-02","2023-12-11"
"11 ","양양군인재육성장학회","우등장학생","기타","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 입학 또는 직전학년 재학중의 성적이 재적학년 정원의 100분의 30이내","해당없음","○ 이사회에서 결정(지급년한 : 1년/생활비 명목 장학금)","○ 국내 고등학교 진학 및 재학 중인 자","○ 공고일 현재 양양군에 주소를 두고 2년 이상 실제 거주한 주민 또는 그 주민의 자녀","※ 기관확인필요","○ 이사회에서 결정","※ 기관확인필요","해당없음","○ 장학생 신청서○ 재학증명서(신입생은 합격증명서)○ 주민등록등본 (10년 이상 주소변동사항 포함)○ 본인과 친권자의 주소가 상이할 경우 가족관계증명서 1부 추가○ 성적증명서○ (신입생) 중학교 3학년 성적증명서○ (재학생) 직전학년 성적증명서○ 전년도 세목별 과세증명서(부·모 모두 제출)○ 전/월세 계약서(해당자만 제출)○ 국민기초수급자 또는 차상위 계층 증명 등 기타 심사에 필요한 증빙서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.yysc.or.kr","2026-01-19","2026-02-20"
"12 ","양양군인재육성장학회","유공및저소득층자녀장학생","기타","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 입학 또는 직전학년 재학중의 성적이 재적학년 정원의 100분의 30이내","○ 기초생활수급자 및 차상위계층","○ 이사회에서 결정(지급년한 : 1년/생활비 명목 장학금)","○ 국가유공자 또는 저소득층(기초생활수급자 및 차상위계층)의 자녀국내 고등학교 진학 및 재학 중인 자","○ 공고일 현재 양양군에 주소를 두고 2년 이상 실제 거주한 주민 또는 그의 자녀","※ 기관확인필요","○ 이사회에서 결정","※ 기관확인필요","해당없음","○ 장학생 신청서○ 재학증명서(신입생은 합격증명서)○ 주민등록등본 (10년 이상 주소변동사항 포함)○ 본인과 친권자의 주소가 상이할 경우 가족관계증명서 1부 추가○ 성적증명서○ (신입생) 중학교 3학년 성적증명서○ (재학생) 직전학년 성적증명서○ 전년도 세목별 과세증명서(부·모 모두 제출)○ 전/월세 계약서(해당자만 제출)○ 국민기초수급자 또는 차상위 계층 증명 등 기타 심사에 필요한 증빙서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.yysc.or.kr","2026-01-19","2026-02-20"
"13 ","양양군인재육성장학회","특기장학생","기타","장학금","특기자","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 이사회에서 결정(지급년한 : 1년/생활비 명목 장학금)","○ 예능/체육/기능에 소질과 재능이 뛰어난 학생으로 신청일 기준 1년 이내에 도 주관이상의 대회에서 입상하여 지역의 명예를 드높인 학생○ 국내 고등학교에 진학 및 재학 중인 자","○ 공고일 현재 양양군에 주소를 두고 2년 이상 실제 거주한 주민 또는 그의 자녀","※ 기관확인필요","○ 이사회에서 결정","○ 불인정 대회○ 각종 영리법인 기관 및 단체 주관 대회○ 부정기적인 대회○ 생활인 대회 / 동호인 대회○ 순위가 불명확한 대회 (우수 / 특선 / 입선 등)","해당없음","○ 장학생 신청서○ 재학증명서(신입생은 합격증명서)○ 주민등록등본 (10년 이상 주소변동사항 포함)○ 본인과 친권자의 주소가 상이할 경우 가족관계증명서 1부 추가○ 성적증명서○ (신입생) 중학교 3학년 성적증명서○ (재학생) 직전학년 성적증명서○ 전년도 세목별 과세증명서(부·모 모두 제출)○ 입상 증명서○ 전/월세 계약서(해당자만 제출)○ 국민기초수급자 또는 차상위 계층 증명 등 기타 심사에 필요한 증빙서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.yysc.or.kr","2026-01-19","2026-02-20"
"14 ","신용회복위원회","새희망힐링펀드 장학사업","공공기관","장학금","소득구분","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","○ 저소득 가정의 고등학생(기초생활수급자/법정차상위계층/한부모가족/장애인연금수급자)","○ 1인당 50만원","○ 신용회복위원회 채무조정 성실상환자 본인 혹은 그 자녀○ 아동양육시설 입소 중인 자○ 만 34세 이하○ 신청일 현재 재/휴학 중인 학생","해당없음","○ 신청접수/ 1차심사(적격여부 점검)/ 2차심사/ 최종선정※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 채무조정 성실상환자 : 40명○ 아동양육시설 거주자 : 60명","○ 최근 3년 이내 새희망힐링펀드 장학금 기수혜자 지원 불가※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학금 지원 신청서○ 자기소개서○ 개인정보 수집 및 이용 동의서○ 가족관계증명서 또는 주민등록등본○ 재(휴)학증명서○ 기타 해당 서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.crrs.or.kr","2026-04-20","2026-06-26"
"15 ","횡성인재육성장학회","성적우수부문","지자체(출자출연기관)","장학금","성적우수","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 신입생 : 내신 성적 통지표상 석차백분율 5% 이내인 자○ 재학생 :  직전 두학기 내신등급이 평균 1.3등급 미만인 자(9등급제의 경우 내신등급 평균 2.0등급 미만인 자)○ 특성화고 등 : 성취도 5단계(ABCDE) 성적 산출 학교의 경우 '보통교과/ 전문교과Ⅰ/ 전문교과Ⅱ' 전년도 이수 과목 교과성적 A가  전체 90% 이상인 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 50만원","○ 신입생 : 면단위 중학교 졸업자는 학교장이 1명 추천 가능※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 신청일 현재 본인 또는 보호자의 주민등록 주소지가 1년 이상 계속하여 횡성군에 등록되어 있는 자","○ 신청인원이 공고인원 보다 많은 경우 선발배점이 높은 순으로 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 24명","○ 2026 횡성인재육성장학회 장학금(향토장학금/ 예체능미래인재장학금) 수혜자○ 농업인자녀학자금/다자녀학자금 대상자○ 새마을지도자/의용소방대 장학금 대상자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천(해당자에 한함)","○ 장학금 지원신청서 ○ 개인정보동의서○ 자기소개서○ 주민등록초본 또는 등본○ 성적증명서○(신입생) 졸업중학교/내신성적통지표○ (재학생) 전년도 성적증명서○ 학교장추천서(해당자)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.hssf.or.kr/","2026-02-04","2026-02-19"
"16 ","횡성인재육성장학회","예능특기부문","지자체(출자출연기관)","장학금","특기자","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 50만원","○ 최근 1년 이내 도교육감 주최 및 중앙단위(전국) 3위 이내 또는 도 단위 1위의 입상 경력이 있는 자","○ 신청일 현재 본인 또는 보호자의 주민등록 주소지가 1년 이상 계속하여 횡성군에 등록되어 있는 자","○ 선발기준에 따라 배점을 합산하여 점수가 높은 자 선발○ 단체로 입상한 경우 예산의 범위내에서 이사회에서 결정※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 7명 (중·고등 총합)","○ 2026 횡성인재육성장학회 장학금(향토장학금/ 예체능미래인재장학금) 수혜자○ 농업인자녀학자금/다자녀학자금 대상자○ 새마을지도자/의용소방대 장학금 대상자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 지원신청서○ 개인정보동의서○ 자기소개서○ 주민등록초본 또는 등본○ 상장사본 또는 관련 증명서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.hssf.or.kr/","2026-02-04","2026-02-19"
"17 ","횡성인재육성장학회","희망장학부문","지자체(출자출연기관)","장학금","소득구분","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 성적우수 분야○ 신입생:내신성적 통지표상 석차백분율 30% 이내인 자○ 재학생:직전 두 학기 내신등급이 평균 3.5등급 미만인 자(9등급제의 경우 내신등급 평균 6.0등급 미만인 자)○ 특성화고 등 : 성취도 5단계(ABCDE)성적 산출 학교의 경우 보통교과/전문교과I 전문교과II 전년도 이수 교과 성적 평균이 D이상인 자","○ 저소득층:기초생활수급권자/차상위계층○ 취약계층:한부모/조부모/다문화 가정으로 부양의무자의 합산 월 소득이 기준중위소득70% 이하(예능분야 및 체육분야는 장애가정 포함)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 50만원","○ 예능/체육분야○ 예고/체고 입학 또는 재학생 ○ 일반고 재학생은 도단위 이상 포상실적 또는 이에 준하는 포상실적이 있는 자(저소득층 및 장애가정) / 전국 종목별 3위 이내 포상실적이 있는 자(한부모·조부모·다문화 가정)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 신청일 현재 본인 또는 보호자의 주민등록 주소지가 1년 이상 계속하여 횡성군에 등록되어 있는 자","○ 신청인원이 공고인원 보다 많은 경우 선발배점이 높은 순으로 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 성적우수:8명(저소득 4명 + 취약계층 4명)○ 예능특기:2명(중·고 총합)○ 체육특기:2명(중·고 총합)","○ 2026 횡성인재육성장학회 장학금(향토장학금/ 예체능미래인재장학금) 수혜자○ 농업인자녀학자금/다자녀학자금 대상자○ 새마을지도자/의용소방대 장학금 대상자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 지원신청서○ 개인정보동의서○ 자기소개서○ 주민등록초본 또는 등본○ 수급자증명서/소득증빙서류/장애등급증명서(해당하는 서류제출)○ 성적증명서(성적우수부문)○ 상장사본 또는 관련 증명서(예술/체육 특기)○ 기타 해당자 제출 서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.hssf.or.kr/","2026-02-04","2026-02-19"
"18 ","한국노총장학문화재단","장학생","기타","장학금","기타","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 100만원","○ 노총산하 조합원 및 일반 근로자 중 직업병으로 인하여 재활교육을 받는학생○ 근로청소년으로서 야간 정규학교에 재학중인자와 순직조합원 및 근로자의 유자녀○ 조합원 및 일반 근로자와 그 자녀·형제·자매(조합원 및 그 형제·자매 중 체육특기자로서 시/도 단위이상의 체육대회에서 입상한 학생)○ 저소득 비정규직 근로자 자녀","해당없음","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","※ 기관확인필요","※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 소속학교장 및 회원조합위원장 추천 필요○ 저소득 비정규직 근로자 자녀로서 관련단체 대표자 추천한 학생","○ 본 재단 소정 양식에 해당 사항을 세밀히 작성 후 각 회원조합을 경유하여 재단 사업본부로 일괄 제출○ (재단 홈페이지 : https://jh.inochong.org)","http://jh.inochong.org/","2026-04-01","2026-04-28"
"19 ","연필장학재단","장학생","기타","장학금","기타","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 3년 간 연 2회 각 60만원 지급","○ 학교 교장선생님 추천학생을 원칙으로 국가장학금 및 다른 기관 장학금을 받지 않는 학생","해당없음","※ 기관확인필요","○ 00명","※ 기관확인필요","○ 학교장 추천","○ 학교장추천서○ 장학생동의서○ 재학증명서○ 성적증명서○ 생활기록부○ 자기소개서○ 통장사본○ 증명사진 2장※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.pensaf.dowebi.net/","2026-03-16","2026-04-06"
"20 ","원덕읍향토장학회","장학생","지자체(출자출연기관)","장학금","지역연고","일반고","1학년2학년3학년제한없음","해당없음","해당없음","○ 원덕읍향토장학회 이사회에서 심의 및 의결한 선발인원 및 확정금액 지급","○ 원덕읍 지역출신의 고등학생 혹은 원덕고등학교 재학생","○ 공고일 기준 본인 또는 부모 중 1인 이상 원덕읍 관내에 3년이상 주민등록상 거주한 자","○ 1차 서류심사 및 적격여부를 검토한 후 원덕읍향토장학회 이사회에서 심의 및 의결한 서발인원 및 확정금액 지급○ 원덕고등학교 재학생의 경우 학교장이 추천하여 선발(개인신청 불가)","※ 기관확인필요","○ 휴학중인 자○ 평생교육법에 의거 설립한 학교 재학생※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 원덕고등학교 재학생은 출신 주소와 관계없이 학교장 추천에 의함","○ 주민등록등본 ○ 가족관계증명서○ 주민등록초본○ 재학증명서○ 통장사본○ 개인정보동의서○ 장학금신청서(원덕고 재학생)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.samcheok.go.kr","2025-09-22","2025-10-10"
"21 ","삼성면장학회","특기장학","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 100만원","○ 공공기관 및 민간단체가 주최·주관한 전국 규모 이상 대회에서 수상한 자 내지 국가대표로 선발된 고등학생○ 2025.1.1.~2025.12.31. 이내 수상실적이 있는 자○ 단체로 수상한 경우 학교장 추천을 받은 1명만 신청","○ 공고일 현재 1년 이상 충북 음성군 삼성면에 주소를 두고 계속 거주하고 있는 면민 또는 면민의 자녀","○ 대회규모별 수상실적 순으로 평가○ 전국대회 아시아대회 세계대회○ 3위 2위 1위※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 1명","○ 음성군 내 타 장학회와 중복 수혜 받은 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천 (단체 수상의 경우)","○ 신청서○ 주민등록등본○ 통장사본(본인 또는 부모)○ 상장사본○ 가족관계증명서(학생 주소가 음성군이 아닌 경우)○ (단체수상자) 학교장 추천서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","삼성면장학회.kr","2026-03-09","2026-03-27"
