"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"613 ","사단법인봉화군교육발전위원회","희망장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","○ 국민기초생활수급자·차상위계층 등 가정형편이 어려운 학생","○ 50만원","○ 농산촌 유망선수 육성을 위한 체육특기생으로 학교장이 추천한 자(가정형편이 어려운 학생 우선 선발)○ 국민기초생활수급자·차상위계층 등 가정형편이 어려운 학생(조손가정·한부모가정·장애가정 우선선발)","○ 신청일 현재 본인 또는 부모(보호자)가 봉화군에 주민등록 주소지를 두고 있는 관내 학교 재학생","○ 학교장 추천 및 장학위원회 심의 의결을 거쳐 선발","○ 30명(중학생 포함)","○ 이장·새마을지도자·의용소방대·저소득층 자녀 장학금 대상자는 신청 불가○ 학교 등 타 기관으로부터 등록금액을 초과하여 장학금을 받고 있지 아니할 것","○ 학교장 추천에 의한 일괄 신청","○ 장학생 추천서○ 주민등록등본○ 장학금 지급신청서○ 서약서○ 개인정보 제공 및 수집 동의서○ 가족관계증명서(본인과 부모 주소가 다른 경우 제출)○ 기초생활수급자 증명서 또는 차상위계층 증명서(해당자)○ 기타 해당자는 건강보험료 납부확인서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.bonghwa.go.kr","2025-04-21","2025-05-16"
"614 ","사단법인봉화군교육발전위원회","특기장학생","지자체(출자출연기관)","장학금","특기자","예술고일반고체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 개인 : 100만원 이내○ 단체(팀) : 200만원 이내※ 대회 규모 및 수상성적에 따른 차등지급으로 자세한 사항은 첨부파일 참조","○ 전국단위 및 도단위 대회 3위 이내 입상자* 입상실적 : 2025.5.17. ~ 2026.5.14. 기간 내 실적만 인정","○ 신청일 현재 본인 또는 부·모·보호자 중 1인이 봉화군에 주민등록 주소지를 두고 있는 군민 (고등학생은 본인이 봉화군에 주소를 두고 있어야 함)","○ 학교장 추천 및 장학위원회 심의 의결을 거쳐 선발","○ 개인 20명/단체 5팀 내외(초·중·대학생 포함)","○ 이장·새마을지도자·의용소방대·저소득층 자녀 장학금 대상자는 신청 불가○ 학교 등 타 기관으로부터 등록금액을 초과하여 장학금을 받고 있지 아니할 것※ 자세한 사항은 첨부파일 참고","○ 학교장 추천에 의한 일괄 선발","○ 장학생 추천서○ 주민등록초본○ 장학금 지급신청서○ 서약서○ 개인정보 제공 및 수집 동의서○ 가족관계증명서○ 입상증명서 사본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.bonghwa.go.kr","2026-04-15","2026-05-14"
"615 ","사단법인봉화군교육발전위원회","진학장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년","해당없음","해당없음","○ 50만원","○ 관내 고등학교나 농업 고등학교에 입학생","○ 신청일 현재 본인 또는 부·모·보호자 중 1인이 봉화군에 주민등록 주소지를 두고 있는 군민 (고등학생은 본인이 봉화군에 주소를 두고 있어야 함)","○ 학교장 추천 및 장학위원회 심의 의결을 거쳐 선발","○ 180명","○ 이장·새마을지도자·의용소방대·저소득층 자녀 장학금 대상자는 신청 불가○ 학교 등 타 기관으로부터 등록금액을 초과하여 장학금을 받고 있지 아니할 것※ 자세한 사항은 첨부파일 참고","○ 학교장 추천에 의한 일괄 신청","○ 장학생 추천서○ 주민등록초본○ 장학금 지급신청서○ 서약서○ 개인정보 제공 및 수집 동의서○ 가족관계증명서○ 재학증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.bonghwa.go.kr","2026-04-15","2026-05-14"
"616 ","사단법인봉화군교육발전위원회","기숙사비 장학금","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","해당없음","해당없음","○ 20만원※ 2024년도 한시적 지원","○ 관내 고등학교 기숙사생","○ 신청일 현재 본인 또는 부모(보호자)가 봉화군에 주민등록 주소지를 두고 있는 관내 학교 재학생","○ 학교장 추천 및 장학위원회 심의 의결을 거쳐 선발","○ 340명","○ 이장·새마을지도자·의용소방대·저소득층 자녀 장학금 대상자는 신청 불가○ 학교 등 타 기관으로부터 등록금액을 초과하여 장학금을 받고 있지 아니할 것○ 지원기간에 타 지자체로 주소 이전 시 해당 기간 장학금 환수","○ 학교장 추천에 의한 일괄 신청","○ 장학생 추천서○ 주민등록등본○ 장학금 지급신청서○ 서약서○ 개인정보 제공 및 수집 동의서○ 가족관계증명서(본인과 부모 주소가 다른 경우 제출)○ 주민등록초본○ 기숙사 입사 여부 확인서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.bonghwa.go.kr","2024-04-18","2024-05-14"
"617 ","사단법인봉화군교육발전위원회","자격증장학금","지자체(출자출연기관)","장학금","기타","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","3학년","해당없음","해당없음","○ 50만원","○ 고등학교 3학년 재학생 : 당해연도 취득한 자격증○ 국가기술자격증(총 544개) 또는 국가공인민간자격증(총 95개)○ 운전면허증 신청 가능","○ 신청일 현재 본인 또는 부·모·보호자 중 1인이 봉화군에 주민등록 주소지를 두고 있는 군민 (고등학생은 본인이 봉화군에 주소를 두고 있어야 함)","○ 공고 접수기간 종료 이후 접수된 건에 대하여 장학위원회 심의·의결을 거쳐 분기별로 지급","○ 170명(고3 및 대학생 포함)","○ 국민내일배움카드 발급 대상자 제외○ 이장·새마을지도자·의용소방대·저소득층 자녀 장학금 대상자는 신청 불가○ 학교 등 타 기관으로부터 등록금액을 초과하여 장학금을 받고 있지 아니할 것○ 1인 1회에 한하여 지급※ 자세한 사항은 첨부파일 참고","해당없음","○ 장학생 추천서○ 주민등록초본○ 장학금 지급신청서○ 서약서○ 개인정보 제공 및 수집 동의서○ 가족관계증명서○ 자격증 사본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.bonghwa.go.kr","2026-04-15","2026-12-28"
"618 ","(재)농촌청소년미래재단","장학생","기타","장학금","기타","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년","○ 교내 성적 20%이내","○ 세대 의료보험료 월 부과금 15만원 이내","○ 고등학교 전 과정 학기당 110만원/연220만원 (선발 후 1학기부터 지급)○ 장학생으로 졸업 후 국공립시립 대학에 진학할 경우 4년 등록금 전액 지원○ 재단에서 진행하는 자기개발프로그램 연수 지원","○ 전국 고등학교 1학년 신입생 10명","해당없음","○ 1차 서류심사○ 2차 면접","○ 10명 내외외","○ 타 장학금 중복 수혜 불가","○ 담임교사 추천 필요","○ 장학생 지원 신청서 1부○ 자기소개서 1부○ 중학교 전학년생활기록부 사본 1부○ 담임선생님 추천서○ 주민등록등본 1부○ 보호자 건강보험료 납부확인서 1부※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.youthf.com","2026-01-20","2026-03-20"
"619 ","재단법인 마포인재육성장학재단","마포장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고체육고","1학년2학년3학년제한없음","○ 해당없음","○ 해당없음","○ 150만원","○ 만 30세 미만의 고등학교 재학생○ 재단에서 주최하는 행사(장학증서 수여식 등)/홍보활동(인터뷰 등)에 필수적인 참여가 가능한 학생","○ 공고일 현재 계속하여 6개월 이상 마포구에 거주하고 있는 자","○ 성적 / 재산정도 / 마포구 거주기간 별로 점수를 부여하여 장학생선정심사위원회 심의를 거쳐 고득점자 순으로 선발○ 마포구 행정도 기준으로 각 동별로 거주하고 있는 고등학교 재학생 1명 우선 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 36명","○ 선발분야 중 한가지 분야만 신청 가능○ 1년에 1가구당 1명 선발 / 다자녀 가정은 2자녀까지 신청 가능※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천","○ 장학생 신청서○ 추천서○ 개인정보 수집·이용·제공·조회 동의서○ 주민등록초본○ 가족관계증명서○ 지방세세목별과세증명서○ 주택임대차계약신고필증 또는 확정일자 부여현황○ 가점증빙서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.mapojh.or.kr","2026-04-22","2026-04-28"
"620 ","재단법인 마포인재육성장학재단","인재육성장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고예술고외국어고일반고체육고","1학년2학년3학년제한없음","○ 2~3학년 : 인재육성장학생으로 선발된 학생 중 직전학기 전체석차 상위 5% 이내에 해당하는 학생※ 고등학교 1학년 학생은 2026년도 하반기에 선발 가능","○ 해당없음","○ 200만원","○ 만 30세 미만의 고등학교 재학생○ 마포구 소재 중학교를 졸업한 관내 9개 고등학교 재학생○ 경성고/ 상암고/ 광성고/ 서울여고/ 숭문고/ 홍익부속여고/ 서울디자인고/ 한세사이버보안고/ 홍익디자인고","○ 공고일 현재 계속하여 6개월 이상 마포구에 거주하고 있는 자","○ 각 학교별로 추천한 학생 1명 선발","○ 9명(학교당 1명)","○ 선발분야 중 한가지 분야만 신청 가능○ 1년에 1가구당 1명 선발 / 다자녀 가정은 2자녀까지 신청 가능※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천 (학교별 1명 추천)","○ 장학생 신청서○ 추천서○ 개인정보 수집·이용·제공·조회 동의서○ 주민등록초본○ 가족관계증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.mapojh.or.kr","2026-04-22","2026-04-28"
"621 ","재단법인 마포인재육성장학재단","성적우수장학생","지자체(출자출연기관)","장학금","지역연고","과학고국제고마이스터고영재고외국어고일반고","1학년2학년3학년제한없음","○ 2025년도 2학기 전체석차 상위 15% 이내인 자","○ 해당없음","○ 150만원","○ 만 30세 미만의 고등학교 재학생○ 관내 고등학교 : 광성고/ 경성고/ 상암고/ 서울여고/ 숭문고/ 홍익부속여고/ 서울디자인고/ 한세사이버보안고/ 홍익디자인고○ 관외 고등학교 : 마포구 관외 고등학교 재학생※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 공고일 현재 계속하여 6개월 이상 마포구에 거주하고 있는 자","○ 관내 고등학교 : 각 학교별로 추천한 학생 1명을 선발○ 관외 고등학교 : 성적을 참고하여 장학생선정심사위원회 심의를 거쳐 선발","○ 12명 (학교별 1명)○ 관내 고등학교 9명○ 관외 고등학교 3명","○ 선발분야 중 한가지 분야만 신청 가능○ 1년에 1가구당 1명 선발 / 다자녀 가정은 2자녀까지 신청 가능※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천","○ 장학생 신청서○ 추천서○ 개인정보 수집·이용·제공·조회 동의서○ 주민등록 초본○ 가족관계증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.mapojh.or.kr","2026-04-22","2026-04-28"
"622 ","재단법인 마포인재육성장학재단","특기장학생","지자체(출자출연기관)","장학금","특기자","과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고","1학년2학년3학년제한없음","○ 해당없음","○ 해당없음","○ 200만원","○ 공고일로부터 1년 이내에 국가/특별시·광역시도 단위 이상 자치단체 또는 관련 기관 에서 주관하는 전국 규모 이상의 대회에서 3위권 이내 입상경력이 있는 자○ 분야 : 체육 분야 / 문화예술 분야 / 기능 분야 / 수학 과학 분야자세한 사항은 첨부파일 참조","○ 공고일 현재 계속하여 6개월 이상 마포구에 거주하고 있는 자","○ 입상성적 / 재산정도 별로 점수를 부여하여 장학생선정심사위원회의 심의를 거쳐 고득점자순으로 선발","○ 4명","○ 선발분야 중 한가지 분야만 신청 가능○ 1년에 1가구당 1명 선발 / 다자녀 가정은 2자녀까지 신청 가능※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 학교장 추천","○ 장학생 신청서○ 추천서○ 개인정보 수집·이용·제공·조회동의서○ 주민등록초본○ 가족관계증명서○ 입상성적 증빙 서류○ 지방세 세목별 과세증명서○ 주택임대차계약신고필증 또는 확정일자 부여현황○ 가점증빙서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.mapojh.or.kr/","2026-04-22","2026-04-28"
